,N_components,BIC
0,10.0,1951792.7390114507
1,11.0,1946083.578090635
2,12.0,1945084.1816330638
3,13.0,1942486.8723802723
4,14.0,1935982.4818713178
5,15.0,1934047.9960291495
6,16.0,1931487.2190812065
7,17.0,1928854.7675342807
8,18.0,1928381.7794549908
9,19.0,1926125.8556879607
10,20.0,1923860.921270855
11,21.0,1924872.117896895
12,22.0,1922643.7564382025
13,23.0,1922589.0041929248
14,24.0,1918955.6429779814
15,25.0,1919896.9200938721
16,26.0,1918727.3915770876
17,27.0,1918399.3253770007
18,28.0,1918827.7229192413
19,29.0,1915861.1939425874
20,30.0,1915366.692257865
21,31.0,1916247.2754441132
22,32.0,1915446.6289590718
23,33.0,1915781.6693900425
24,34.0,1916400.5093932534
25,35.0,1914103.0995365514
26,36.0,1914589.1913744493
27,37.0,1914327.546040812
28,38.0,1916054.0537419003
29,39.0,1915114.6011744912
30,40.0,1916256.754971187
31,41.0,1914104.7813716389
32,42.0,1913834.457096332
33,43.0,1913765.5464396367
34,44.0,1915733.6100466962
35,45.0,1914500.4862375858
36,46.0,1917574.5006707842
37,47.0,1916653.7740060803
38,48.0,1919548.712482981
39,49.0,1916739.0255051437
40,50.0,1917739.2800299663
41,51.0,1917644.6893183035
42,52.0,1919083.2810299487
43,53.0,1919356.291506112
44,54.0,1918136.9373081233
45,55.0,1923342.3079479644
46,56.0,1923613.0425811298
47,57.0,1922351.0222132525
48,58.0,1922861.9595276932
49,59.0,1924025.9200863566
50,60.0,1923632.7302909298
