Cluster,Size,Avg Consensus
1,613.0,0.3619621704037787
2,4291.0,0.2306747781853818
3,950.0,0.6734751039875768
4,1058.0,0.6970926025613743
5,1144.0,0.4300518816266846
6,1703.0,0.2177539187429661
7,601.0,0.4363726012201886
8,1471.0,0.2928017869282316
9,1188.0,0.4319588754719334
10,1584.0,0.352411193425091
11,366.0,0.6774144771315217
12,1159.0,0.4852062927215259
13,1452.0,0.314935780966105
14,1107.0,0.4062091801147064
15,856.0,0.4710125703667267
16,1355.0,0.3413445251734645
17,690.0,0.4180273868871079
18,324.0,0.5670958987883653
19,1082.0,0.3870434543219207
20,717.0,0.5663849216552519
21,460.0,0.5438078999715829
22,361.0,0.4395053862726992
23,561.0,0.828695951107716
24,448.0,0.3748278203899008
25,814.0,0.4011401337600599
26,1326.0,0.3844705199351149
27,738.0,0.3160557155096652
28,1297.0,0.3683023977459859
29,663.0,0.5521331674663824
30,755.0,0.4930538408839389
31,1315.0,0.3099991087498771
32,1299.0,0.3143690951081251
33,1079.0,0.3949347726284044
34,1958.0,0.2039222340588224
35,384.0,0.6871564947780678
36,541.0,0.3922402957486136
37,1257.0,0.1529713857176879
38,1815.0,0.2017091067029923
39,3994.0,0.0663126545565907
40,1387.0,0.0749281464349957
41,1040.0,0.1386683571481454
42,625.0,0.1858698461538462
